iter	Passed	Remaining
0	75	75726
1	136	68128
2	222	73923
3	313	78004
4	412	82138
5	496	82288
6	557	79135
7	612	75948
8	673	74212
9	731	72424
10	796	71572
11	872	71836
12	944	71716
13	1001	70563
14	1054	69260
15	1108	68160
16	1165	67388
17	1219	66523
18	1274	65782
19	1330	65181
20	1389	64778
21	1449	64440
22	1510	64176
23	1572	63930
24	1631	63621
25	1687	63230
26	1741	62755
27	1797	62416
28	1854	62100
29	1911	61806
30	1979	61866
31	2055	62177
32	2122	62184
33	2188	62183
34	2249	62032
35	2317	62059
36	2396	62374
37	2482	62846
38	2599	64066
39	2692	64610
40	2792	65312
41	2905	66280
42	2966	66013
43	3030	65843
44	3095	65696
45	3149	65327
46	3233	65559
47	3315	65753
48	3377	65549
49	3486	66243
50	3643	67794
51	3863	70439
52	4020	71830
53	4173	73120
54	4448	76430
55	4651	78407
56	4804	79484
57	4947	80349
58	5043	80443
59	5114	80129
60	5179	79725
61	5238	79257
62	5302	78860
63	5369	78531
64	5429	78106
65	5487	77651
66	5548	77267
67	5610	76902
68	5675	76580
69	5736	76214
70	5786	75710
71	5840	75278
72	5898	74898
73	5956	74532
74	6011	74135
75	6076	73877
76	6134	73539
77	6190	73170
78	6248	72849
79	6304	72505
80	6359	72156
81	6419	71869
82	6474	71531
83	6533	71249
84	6588	70923
85	6646	70643
86	6716	70484
87	6773	70197
88	6829	69905
89	6895	69717
90	6954	69471
91	7011	69196
92	7072	68979
93	7132	68743
94	7188	68480
95	7248	68255
96	7304	67995
97	7362	67768
98	7421	67545
99	7480	67326
100	7536	67085
101	7593	66849
102	7651	66635
103	7709	66418
104	7765	66192
105	7826	66010
106	7882	65783
107	7940	65582
108	7996	65369
109	8051	65147
110	8106	64924
111	8161	64706
112	8225	64569
113	8292	64444
114	8350	64260
115	8410	64094
116	8469	63922
117	8530	63765
118	8590	63598
119	8645	63403
120	8707	63254
121	8769	63112
122	8823	62914
123	8882	62751
124	8939	62579
125	8996	62406
126	9053	62235
127	9114	62093
128	9175	61951
129	9236	61816
130	9294	61657
131	9357	61534
132	9422	61423
133	9479	61265
134	9540	61128
135	9598	60979
136	9655	60819
137	9718	60704
138	9780	60580
139	9839	60445
140	9906	60349
141	9964	60210
142	10021	60058
143	10078	59910
144	10130	59736
145	10185	59580
146	10244	59447
147	10302	59310
148	10364	59196
149	10422	59061
150	10481	58932
151	10535	58778
152	10595	58657
153	10657	58547
154	10720	58445
155	10777	58308
156	10833	58171
157	10888	58024
158	10951	57928
159	11012	57817
160	11071	57695
161	11132	57586
162	11193	57477
163	11255	57374
164	11312	57247
165	11369	57123
166	11428	57006
167	11487	56891
168	11544	56763
169	11602	56645
170	11666	56558
171	11723	56438
172	11780	56316
173	11839	56203
174	11893	56071
175	11949	55945
176	12007	55830
177	12067	55727
178	12124	55608
179	12180	55487
180	12253	55443
181	12348	55502
182	12452	55591
183	12529	55567
184	12625	55620
185	12753	55814
186	12885	56022
187	13009	56189
188	13167	56502
189	13287	56646
190	13463	57024
191	13601	57239
192	13750	57495
193	13984	58099
194	14145	58396
195	14254	58472
196	14342	58461
197	14458	58563
198	14586	58711
199	14858	59435
200	14978	59541
201	15088	59608
202	15177	59589
203	15250	59504
204	15311	59377
205	15368	59236
206	15428	59106
207	15491	58988
208	15549	58848
209	15610	58725
210	15671	58599
211	15732	58476
212	15793	58355
213	15848	58209
214	15905	58073
215	15965	57948
216	16019	57804
217	16075	57665
218	16129	57519
219	16188	57396
220	16255	57298
221	16314	57174
222	16376	57060
223	16432	56925
224	16486	56785
225	16542	56655
226	16602	56535
227	16664	56423
228	16722	56302
229	16775	56162
230	16831	56032
231	16890	55914
232	16951	55802
233	17009	55679
234	17068	55562
235	17119	55421
236	17178	55305
237	17246	55217
238	17303	55097
239	17359	54972
240	17413	54842
241	17473	54730
242	17535	54627
243	17590	54501
244	17644	54374
245	17701	54256
246	17757	54135
247	17811	54009
248	17870	53898
249	17927	53782
250	17984	53667
251	18040	53549
252	18098	53436
253	18154	53320
254	18209	53198
255	18262	53074
256	18325	52981
257	18387	52880
258	18451	52788
259	18507	52675
260	18568	52575
261	18621	52453
262	18679	52343
263	18740	52246
264	18798	52139
265	18857	52036
266	18913	51923
267	18968	51810
268	19025	51700
269	19081	51591
270	19137	51480
271	19190	51363
272	19246	51253
273	19306	51154
274	19362	51047
275	19424	50954
276	19480	50847
277	19540	50749
278	19597	50645
279	19654	50538
280	19713	50440
281	19763	50321
282	19818	50211
283	19872	50102
284	19936	50015
285	19997	49923
286	20054	49821
287	20113	49725
288	20172	49627
289	20232	49533
290	20294	49445
291	20366	49381
292	20422	49279
293	20485	49192
294	20540	49088
295	20596	48985
296	20653	48886
297	20706	48778
298	20759	48669
299	20817	48574
300	20879	48488
301	20936	48389
302	20996	48299
303	21054	48204
304	21118	48123
305	21170	48014
306	21222	47906
307	21279	47809
308	21334	47709
309	21393	47617
310	21459	47542
311	21521	47457
312	21580	47366
313	21640	47277
314	21698	47186
315	21754	47089
316	21812	46996
317	21866	46895
318	21923	46801
319	21979	46706
320	22034	46609
321	22095	46523
322	22165	46458
323	22254	46432
324	22363	46446
325	22445	46405
326	22540	46391
327	22649	46404
328	22789	46479
329	22913	46521
330	23022	46531
331	23173	46627
332	23284	46639
333	23394	46649
334	23596	46840
335	23782	46998
336	23938	47095
337	24105	47212
338	24240	47265
339	24339	47247
340	24503	47353
341	24743	47606
342	24906	47706
343	24977	47630
344	25039	47538
345	25100	47444
346	25160	47348
347	25222	47256
348	25282	47159
349	25343	47066
350	25400	46965
351	25465	46879
352	25534	46800
353	25594	46706
354	25655	46613
355	25712	46513
356	25772	46419
357	25834	46328
358	25889	46226
359	25945	46124
360	26007	46035
361	26069	45946
362	26130	45854
363	26193	45766
364	26247	45664
365	26311	45578
366	26365	45475
367	26431	45392
368	26489	45298
369	26548	45204
370	26601	45100
371	26657	45002
372	26713	44904
373	26769	44806
374	26823	44705
375	26878	44607
376	26934	44510
377	26990	44412
378	27048	44319
379	27103	44221
380	27163	44131
381	27220	44037
382	27279	43946
383	27336	43852
384	27391	43755
385	27448	43661
386	27506	43570
387	27563	43476
388	27629	43396
389	27688	43307
390	27745	43215
391	27806	43128
392	27874	43052
393	27929	42956
394	27993	42875
395	28052	42787
396	28108	42694
397	28170	42609
398	28237	42533
399	28296	42444
400	28355	42356
401	28426	42285
402	28489	42203
403	28549	42117
404	28615	42039
405	28674	41952
406	28737	41869
407	28803	41792
408	28866	41712
409	28928	41629
410	28995	41552
411	29052	41463
412	29116	41383
413	29178	41300
414	29249	41231
415	29317	41156
416	29379	41075
417	29446	40999
418	29507	40915
419	29568	40832
420	29644	40770
421	29717	40703
422	29794	40641
423	29861	40566
424	29924	40486
425	29984	40401
426	30047	40320
427	30110	40241
428	30177	40165
429	30234	40078
430	30291	39990
431	30350	39904
432	30414	39826
433	30476	39745
434	30547	39676
435	30617	39606
436	30673	39517
437	30738	39440
438	30796	39355
439	30856	39271
440	30916	39188
441	30977	39107
